Expert,Player 1,Player 2,Player 3,Player 4,Player 5
Enzo5,Cole Palmer,Lamine Yamal,Kenan Yildiz,Michael Olise,Mason Greenwood
drisham,Cole Palmer,Arda Güler,Kenan Yildiz,Michael Olise,Mason Greenwood
Gucciboy,Cole Palmer,Julián Álvarez,Ange-Yoan Bonny,Michael Olise,Mason Greenwood
VicThory,Mohammed Kudus,Lamine Yamal,Nico Paz,Loïs Openda,Mason Greenwood
Capdan21,Cole Palmer,Lamine Yamal,Charles De Ketelaere,Michael Olise,Bradley Barcola
timbros,Morgan Rogers,Julián Álvarez,Kenan Yildiz,Michael Olise,Khvicha Kvaratskhelia
ForValour,João Pedro,Lamine Yamal,Francesco Camarda,Michael Olise,Mason Greenwood
Zeusis,Cole Palmer,Julián Álvarez,Charles De Ketelaere,Michael Olise,Désiré Doué
Silentgroper,Alexander Isak,Lamine Yamal,Kenan Yildiz,Karim Adeyemi,Désiré Doué
andrewbaba44,Florian Wirtz,Alex Baena,Moise Kean,Jonathan Burkardt,Mason Greenwood
SportsWeb,Cole Palmer,Vinícius Júnior,Kenan Yildiz,Michael Olise,Mason Greenwood
Realtord43,João Pedro,Lamine Yamal,Jonathan David,Nick Woltemade,Désiré Doué
Trevor012,Benjamin Šeško,Lamine Yamal,Nikola Krstović,Loïs Openda,Mason Greenwood
Kimbeast,Cole Palmer,Oihan Sancet,Moise Kean,Rómulo Cardoso,Bradley Barcola
MorataFC,Cole Palmer,Nico Williams,Matías Soulé,Michael Olise,Bradley Barcola
Godx,Phil Foden,Julián Álvarez,Roberto Piccoli,Loïs Openda,Mason Greenwood
Capaldi,Florian Wirtz,Vinícius Júnior,Lorenzo Lucca,Michael Olise,Mika Biereth
Bombblacks,Bukayo Saka,Lamine Yamal,Moise Kean,Nick Woltemade,Mason Greenwood
Whizlight,Cole Palmer,Lamine Yamal,Kenan Yildiz,Michael Olise,Désiré Doué
Kushercain,Estêvão Willian,Arda Güler,Kenan Yildiz,Michael Olise,Désiré Doué
iamoyindamola,Bukayo Saka,Lamine Yamal,Kenan Yildiz,Michael Olise,Mason Greenwood
Amoto94,Cole Palmer,Endrick Felipe,Ange-Yoan Bonny,Michael Olise,Mason Greenwood
StarchAndBanga,Cole Palmer,Lamine Yamal,Moise Kean,Michael Olise,Désiré Doué
ouzo1,Benjamin Šeško,Lamine Yamal,Kenan Yildiz,Jamal Musiala,Nuno Mendez
Amethyst101,Cole Palmer,Lamine Yamal,Jonathan David,Jonathan Burkardt,Désiré Doué
nateevs,Cole Palmer,Lamine Yamal,Moise Kean,Michael Olise,Mason Greenwood
Maimakawa1,João Pedro,Lamine Yamal,Kenan Yildiz,Michael Olise,Désiré Doué
dostr4,Cole Palmer,Ander Barrenetxea,Chico Conceição,Michael Olise,Désiré Doué
Dathypebruv,Cole Palmer,Lamine Yamal,Kenan Yildiz,Michael Olise,Désiré Doué
BlewMahn,Estêvão Willian,Nico Williams,Kenan Yildiz,Nick Woltemade,Emanuel Emegha
Skimpledawg,Estêvão Willian,Lamine Yamal,Kenan Yildiz,Michael Olise,Mason Greenwood
patrickmuf,Benjamin Šeško,Lamine Yamal,Evan Ferguson,Nick Woltemade,Mason Greenwood
